month,id,src_id,dst_id,src_flag,dst_flag,src_sf,dst_sf,src_count,dst_count,taxrate_src,taxrate_dst
2.0,0.0,229816.0,697620.0,7.0,11.0,-0.10874112803778821,-9.609856472698242,3.0,3.0,1.0,1.0
2.0,1.0,1685584.0,3571190.0,3.0,27.0,0.1573973976877092,-0.005768356873746549,2.0,4.0,1.0,1.0
2.0,2.0,3559003.0,1867165.0,3.0,16.0,0.18099076262204172,0.1300112383745413,2.0,1.0,1.0,0.0
2.0,3.0,4020865.0,3714439.0,17.0,19.0,0.037828191381984774,-0.025949251918914656,2.0,3.0,1.0,1.0
month,id,src_id,dst_id,src_flag,dst_flag,src_sf,dst_sf,src_count,dst_count,taxrate_src,taxrate_dst
3.0,0.0,2539079.0,2349601.0,3.0,1.0,-0.013034701871491897,0.059747201640815276,2.0,1.0,1.0,1.0
3.0,1.0,4411947.0,4055105.0,0.0,15.0,0.0,-1.8486054380576173,0.0,4.0,0.0,1.0
3.0,2.0,4677845.0,1210300.0,-2.0,11.0,-1.0,0.03635988112924455,0.0,3.0,0.0,1.0
3.0,3.0,229816.0,697620.0,19.0,3.0,-0.4624295175597835,-2.4305746544192792,3.0,2.0,1.0,1.0
3.0,4.0,4055105.0,4411947.0,15.0,0.0,-1.8486054380576173,0.0,4.0,0.0,1.0,0.0
3.0,5.0,4020865.0,3714439.0,7.0,7.0,0.10564664725396461,0.06479183401790728,3.0,3.0,1.0,1.0
3.0,6.0,162114.0,4635415.0,19.0,1.0,-0.9158436489483771,0.05760433296645551,3.0,1.0,1.0,1.0
3.0,7.0,4635415.0,162114.0,1.0,19.0,0.05760433296645551,-0.9158436489483771,1.0,3.0,1.0,1.0
month,id,src_id,dst_id,src_flag,dst_flag,src_sf,dst_sf,src_count,dst_count,taxrate_src,taxrate_dst
4.0,0.0,4411947.0,4055105.0,0.0,2.0,0.0,0.09242789121822251,0.0,1.0,0.0,0.0
4.0,1.0,229816.0,697620.0,3.0,21.0,-0.6314778828321381,-2.0362912381757745,2.0,3.0,1.0,1.0
4.0,2.0,3559003.0,1867165.0,1.0,8.0,0.17,0.11248628012093084,1.0,1.0,1.0,0.0
4.0,3.0,4020865.0,3714439.0,17.0,1.0,0.09346633710769715,0.08203019576373413,2.0,1.0,1.0,1.0
4.0,4.0,28275.0,2641686.0,-2.0,28.0,-1.0,0.09638606919221773,0.0,3.0,0.0,0.0
4.0,5.0,2539079.0,2349601.0,3.0,25.0,0.03578702542696757,0.0736529222972973,2.0,3.0,1.0,1.0
4.0,6.0,133599.0,4148157.0,3.0,1.0,0.023452859885967813,0.01783719208985905,2.0,1.0,1.0,1.0
4.0,7.0,4055105.0,4411947.0,2.0,0.0,0.09242789121822251,0.0,1.0,0.0,0.0,0.0
4.0,8.0,2539079.0,4148157.0,3.0,1.0,0.03578702542696757,0.01783719208985905,2.0,1.0,1.0,1.0
month,id,src_id,dst_id,src_flag,dst_flag,src_sf,dst_sf,src_count,dst_count,taxrate_src,taxrate_dst
5.0,0.0,4055105.0,4411947.0,26.0,0.0,0.16001431814140163,0.0,3.0,0.0,0.0,0.0
5.0,1.0,2539079.0,2349601.0,27.0,11.0,0.06134055570978142,0.03084560262543321,4.0,3.0,1.0,1.0
5.0,2.0,2058387.0,1657375.0,7.0,24.0,0.03156108091107038,0.10815768248167368,3.0,2.0,1.0,0.0
5.0,3.0,229816.0,697620.0,1.0,1.0,-0.5533746234289574,-2.0563559501197095,1.0,1.0,1.0,1.0
5.0,4.0,2539079.0,4148157.0,27.0,3.0,0.06134055570978142,0.11663166043591712,4.0,2.0,1.0,1.0
5.0,5.0,4020865.0,3714439.0,5.0,1.0,0.09960644146314869,0.0696609917359495,2.0,1.0,1.0,1.0
month,id,src_id,dst_id,src_flag,dst_flag,src_sf,dst_sf,src_count,dst_count,taxrate_src,taxrate_dst
6.0,0.0,4096502.0,3591177.0,1.0,25.0,0.1512083075055925,0.11402933380065794,1.0,3.0,1.0,1.0
6.0,1.0,1478799.0,413801.0,4.0,19.0,0.15925797400659267,0.0398051563764212,1.0,3.0,0.0,1.0
6.0,2.0,2058387.0,4148859.0,5.0,7.0,0.03255658354483145,-0.08411994172346646,2.0,3.0,1.0,1.0
6.0,3.0,802456.0,2349601.0,23.0,3.0,-0.44460021559882357,0.11965323934032367,4.0,2.0,1.0,1.0
6.0,4.0,2058387.0,1657375.0,5.0,19.0,0.03255658354483145,0.06008272600452515,2.0,3.0,1.0,1.0
6.0,5.0,4148157.0,4108817.0,5.0,3.0,0.14310690465397147,0.10292009428522376,2.0,2.0,1.0,1.0
6.0,6.0,4020865.0,3714439.0,19.0,9.0,0.05633746077713766,0.06502415117801338,3.0,2.0,1.0,1.0
6.0,7.0,4055105.0,4411947.0,8.0,0.0,0.1615627173382813,0.0,1.0,0.0,0.0,0.0
6.0,8.0,413801.0,1478799.0,19.0,4.0,0.0398051563764212,0.15925797400659267,3.0,1.0,1.0,0.0
6.0,9.0,4677845.0,1210300.0,-2.0,4.0,-1.0,0.13319125535308318,0.0,1.0,0.0,0.0
6.0,10.0,229816.0,697620.0,19.0,3.0,-0.9946561238587012,-78.76098772527607,3.0,2.0,1.0,1.0
6.0,11.0,2160877.0,4508213.0,19.0,19.0,-0.9992199630284468,-0.16975684043974662,3.0,3.0,1.0,1.0
6.0,12.0,2058387.0,2641686.0,5.0,16.0,0.03255658354483145,0.08804123813835284,2.0,1.0,1.0,0.0
6.0,13.0,1448318.0,3591177.0,5.0,25.0,0.16808913961820093,0.11402933380065794,2.0,3.0,1.0,1.0
6.0,14.0,2539079.0,2349601.0,25.0,3.0,0.05950708247087151,0.11965323934032367,3.0,2.0,1.0,1.0
6.0,15.0,1478799.0,4148859.0,4.0,7.0,0.15925797400659267,-0.08411994172346646,1.0,3.0,0.0,1.0
6.0,16.0,2539079.0,4148157.0,25.0,5.0,0.05950708247087151,0.14310690465397147,3.0,2.0,1.0,1.0
month,id,src_id,dst_id,src_flag,dst_flag,src_sf,dst_sf,src_count,dst_count,taxrate_src,taxrate_dst
7.0,0.0,365714.0,1330436.0,6.0,11.0,0.12476685393946678,-1.3458740407968826,2.0,3.0,0.0,1.0
7.0,1.0,4020865.0,3714439.0,3.0,3.0,0.07591770477886396,0.09780562155981075,2.0,2.0,1.0,1.0
7.0,2.0,2401923.0,2610827.0,15.0,-2.0,0.02992806013361121,-1.0,4.0,0.0,1.0,0.0
7.0,3.0,2539079.0,4148157.0,19.0,19.0,0.03555904769143058,0.02343575100055493,3.0,3.0,1.0,1.0
7.0,4.0,2388983.0,1532936.0,-1.0,4.0,0.09547879007432279,0.16501625551487115,0.0,1.0,1.0,0.0
7.0,5.0,2539079.0,2349601.0,19.0,19.0,0.03555904769143058,0.051537125335696335,3.0,3.0,1.0,1.0
7.0,6.0,2058387.0,2641686.0,3.0,6.0,0.053253287581005636,0.16035219239759016,2.0,2.0,1.0,0.0
7.0,7.0,28275.0,2641686.0,-2.0,6.0,-1.0,0.16035219239759016,0.0,2.0,0.0,0.0
7.0,8.0,2058387.0,1657375.0,3.0,11.0,0.053253287581005636,0.019290205234251658,2.0,3.0,1.0,1.0
month,id,src_id,dst_id,src_flag,dst_flag,src_sf,dst_sf,src_count,dst_count,taxrate_src,taxrate_dst
8.0,0.0,2388983.0,1532936.0,27.0,16.0,0.05733067568103549,0.1584886811867926,4.0,1.0,1.0,0.0
8.0,1.0,1657375.0,1478799.0,19.0,8.0,-0.02147276318019481,0.16017860663713213,3.0,1.0,1.0,0.0
8.0,2.0,1873521.0,4136922.0,19.0,-2.0,-0.14303978443359286,-1.0,3.0,0.0,1.0,0.0
8.0,3.0,2539079.0,4148157.0,3.0,27.0,0.06623198255243312,0.04799319032177597,2.0,4.0,1.0,1.0
8.0,4.0,1478799.0,1657375.0,8.0,19.0,0.16017860663713213,-0.02147276318019481,1.0,3.0,0.0,1.0
8.0,5.0,365219.0,4136922.0,6.0,-2.0,0.14157948360693556,-1.0,2.0,0.0,0.0,0.0
8.0,6.0,4635415.0,162114.0,1.0,19.0,0.06000016173198344,-0.24568590068028764,1.0,3.0,1.0,1.0
8.0,7.0,28275.0,2641686.0,-2.0,0.0,-1.0,0.1680716456712277,0.0,0.0,0.0,0.0
8.0,8.0,2401923.0,2610827.0,7.0,-2.0,0.13095494654607895,-1.0,3.0,0.0,1.0,0.0
8.0,9.0,4020865.0,3714439.0,19.0,1.0,0.014062533107063057,0.09975405095962318,3.0,1.0,1.0,1.0
8.0,10.0,1478799.0,413801.0,8.0,5.0,0.16017860663713213,0.04947774974493673,1.0,2.0,0.0,1.0
8.0,11.0,2378545.0,1210300.0,-2.0,8.0,-1.0,0.07335063497259857,0.0,1.0,0.0,0.0
month,id,src_id,dst_id,src_flag,dst_flag,src_sf,dst_sf,src_count,dst_count,taxrate_src,taxrate_dst
9.0,0.0,2388983.0,1532936.0,24.0,8.0,0.06230011489715189,0.1621618503130773,2.0,1.0,0.0,0.0
9.0,1.0,1616197.0,3640265.0,0.0,26.0,0.13922824501045505,0.11784151604376586,0.0,3.0,0.0,0.0
9.0,2.0,802456.0,2349601.0,23.0,27.0,-0.19616679856354335,0.0578337376303747,4.0,4.0,1.0,1.0
9.0,3.0,685273.0,1291668.0,0.0,3.0,0.0,0.02188564922047045,0.0,2.0,0.0,1.0
9.0,4.0,2401923.0,2610827.0,19.0,-2.0,0.05615561070719249,-1.0,3.0,0.0,1.0,0.0
9.0,5.0,1657375.0,1478799.0,19.0,16.0,-1.1150751720856786,0.1245521376763092,3.0,1.0,1.0,0.0
9.0,6.0,2539079.0,2349601.0,9.0,27.0,0.070674929322958,0.0578337376303747,2.0,4.0,1.0,1.0
9.0,7.0,1478799.0,1657375.0,16.0,19.0,0.1245521376763092,-1.1150751720856786,1.0,3.0,0.0,1.0
9.0,8.0,2539079.0,4148157.0,9.0,3.0,0.070674929322958,0.14720705162161404,2.0,2.0,1.0,1.0
9.0,9.0,28275.0,2641686.0,-2.0,16.0,-1.0,0.16253625008400943,0.0,1.0,0.0,0.0
9.0,10.0,4699831.0,697620.0,-2.0,1.0,-1.0,-4.439408220001467,0.0,1.0,0.0,1.0
month,id,src_id,dst_id,src_flag,dst_flag,src_sf,dst_sf,src_count,dst_count,taxrate_src,taxrate_dst
10.0,0.0,28275.0,2641686.0,-2.0,4.0,-1.0,0.16445589062208069,0.0,1.0,0.0,0.0
10.0,1.0,4148157.0,133599.0,9.0,7.0,0.1490222322722641,-0.007288361462933048,2.0,3.0,1.0,1.0
10.0,2.0,685273.0,1291668.0,0.0,11.0,0.0,-0.027419617640636707,0.0,3.0,0.0,1.0
10.0,3.0,1873521.0,1616197.0,26.0,18.0,0.11318570289909839,0.08565999447737538,3.0,2.0,0.0,0.0
10.0,4.0,2539079.0,4148157.0,17.0,9.0,0.05025793739794959,0.1490222322722641,2.0,2.0,1.0,1.0
10.0,5.0,852583.0,3861031.0,11.0,3.0,0.034895997078351164,0.13063534073104527,3.0,2.0,1.0,1.0
10.0,6.0,4699831.0,697620.0,-2.0,19.0,-1.0,-3.0734104122779775,0.0,3.0,0.0,1.0
10.0,7.0,2539079.0,2349601.0,17.0,9.0,0.05025793739794959,0.05931871087487174,2.0,2.0,1.0,1.0
10.0,8.0,2388983.0,1532936.0,6.0,4.0,0.08156957496805362,0.16740393083196067,2.0,1.0,0.0,0.0
10.0,9.0,4020865.0,3714439.0,27.0,5.0,0.03789881198138759,0.08215072692088034,4.0,2.0,1.0,1.0
10.0,10.0,2401923.0,2610827.0,3.0,-2.0,0.1354754608634258,-1.0,2.0,0.0,1.0,0.0
month,id,src_id,dst_id,src_flag,dst_flag,src_sf,dst_sf,src_count,dst_count,taxrate_src,taxrate_dst
11.0,0.0,4020865.0,3714439.0,5.0,19.0,0.04495757173411719,0.03494473901421053,2.0,3.0,1.0,1.0
11.0,1.0,911573.0,2641686.0,20.0,16.0,0.1440099229818199,0.15950268024267755,2.0,1.0,0.0,0.0
11.0,2.0,4148157.0,2539079.0,9.0,7.0,0.11636750296111441,0.07906725572384589,2.0,3.0,1.0,1.0
11.0,3.0,4699831.0,1115174.0,-2.0,1.0,-1.0,-2.996509697601042,0.0,1.0,0.0,1.0
11.0,4.0,4148157.0,133599.0,9.0,7.0,0.11636750296111441,0.037011940091590846,2.0,3.0,1.0,1.0
11.0,5.0,4699831.0,697620.0,-2.0,7.0,-1.0,-0.28796850924553924,0.0,3.0,0.0,1.0
11.0,6.0,2539079.0,2349601.0,7.0,25.0,0.07906725572384589,0.05198262216046656,3.0,3.0,1.0,1.0
11.0,7.0,28275.0,2641686.0,-2.0,16.0,-1.0,0.15950268024267755,0.0,1.0,0.0,0.0
11.0,8.0,330942.0,1637282.0,0.0,19.0,0.06000002366071481,0.023932388621159265,0.0,3.0,0.0,1.0
11.0,9.0,3247948.0,37085.0,0.0,31.0,0.0,0.0765893661639355,0.0,5.0,0.0,1.0
11.0,10.0,4555411.0,3162130.0,16.0,-2.0,0.15118450917698856,-1.0,1.0,0.0,0.0,0.0
11.0,11.0,2401923.0,2610827.0,19.0,-2.0,0.08846481688767037,-1.0,3.0,0.0,1.0,0.0
11.0,12.0,852583.0,3861031.0,3.0,1.0,0.07805255960064206,0.13127197751570283,2.0,1.0,1.0,1.0
11.0,13.0,2539079.0,4148157.0,7.0,9.0,0.07906725572384589,0.11636750296111441,3.0,2.0,1.0,1.0
11.0,14.0,685273.0,1291668.0,0.0,25.0,0.0,-0.021318008432302207,0.0,3.0,0.0,1.0
11.0,15.0,3026201.0,4510834.0,24.0,19.0,0.12982690751838818,-0.07134594343297979,2.0,3.0,0.0,1.0
11.0,16.0,2058387.0,787631.0,9.0,19.0,0.05263584659654494,0.02368518440452362,2.0,3.0,1.0,1.0
11.0,17.0,2378545.0,1210300.0,-2.0,19.0,-1.0,0.0012179755298135924,0.0,3.0,0.0,1.0
11.0,18.0,2388983.0,1532936.0,0.0,16.0,0.09285513731302118,0.15229054274568823,0.0,1.0,0.0,0.0
month,id,src_id,dst_id,src_flag,dst_flag,src_sf,dst_sf,src_count,dst_count,taxrate_src,taxrate_dst
12.0,0.0,2539079.0,4148157.0,4.0,5.0,0.08901301341771808,0.13818091534770652,1.0,2.0,0.0,1.0
12.0,1.0,4108817.0,4176874.0,7.0,-2.0,0.12449214493109861,-1.0,3.0,0.0,1.0,0.0
12.0,2.0,2401923.0,2610827.0,7.0,-2.0,0.12244199039719712,-1.0,3.0,0.0,1.0,0.0
12.0,3.0,2539079.0,2349601.0,4.0,9.0,0.08901301341771808,0.058030516626590804,1.0,2.0,0.0,1.0
12.0,4.0,2571519.0,1210300.0,-2.0,6.0,-1.0,0.09284109424306589,0.0,2.0,0.0,0.0
12.0,5.0,4699831.0,697620.0,-2.0,19.0,-1.0,-3.9237796217475536,0.0,3.0,0.0,1.0
12.0,6.0,2058387.0,1657375.0,11.0,6.0,0.0305954581996892,0.09191018060720557,3.0,2.0,1.0,0.0
12.0,7.0,1637282.0,3175934.0,3.0,16.0,0.08564984307019445,0.08880226441306084,2.0,1.0,1.0,0.0
12.0,8.0,4635415.0,162114.0,1.0,16.0,0.059999940837212606,0.1321564692547402,1.0,1.0,1.0,0.0
12.0,9.0,1925748.0,1210300.0,11.0,6.0,-0.2697721381349853,0.09284109424306589,3.0,2.0,1.0,0.0
12.0,10.0,2388983.0,1532936.0,4.0,24.0,0.10196006600015804,0.1416324717530464,1.0,2.0,0.0,0.0
12.0,11.0,2378545.0,1210300.0,-2.0,6.0,-1.0,0.09284109424306589,0.0,2.0,0.0,0.0
12.0,12.0,4148157.0,4108817.0,5.0,7.0,0.13818091534770652,0.12449214493109861,2.0,3.0,1.0,1.0
12.0,13.0,802456.0,4148157.0,7.0,5.0,-0.01954409880270431,0.13818091534770652,3.0,2.0,1.0,1.0
12.0,14.0,802456.0,2349601.0,7.0,9.0,-0.01954409880270431,0.058030516626590804,3.0,2.0,1.0,1.0
12.0,15.0,28275.0,2641686.0,-2.0,4.0,-1.0,0.16569831430468224,0.0,1.0,0.0,0.0
12.0,16.0,4020865.0,3714439.0,19.0,3.0,0.02184857127665364,0.06937426538980133,3.0,2.0,1.0,1.0
12.0,17.0,4108817.0,4148157.0,7.0,5.0,0.12449214493109861,0.13818091534770652,3.0,2.0,1.0,1.0
12.0,18.0,852583.0,3861031.0,19.0,1.0,-0.07630011556554925,0.14179625885156225,3.0,1.0,1.0,1.0
12.0,19.0,2219217.0,4148157.0,-2.0,5.0,-1.0,0.13818091534770652,0.0,2.0,0.0,1.0
12.0,20.0,1874658.0,2071042.0,-1.0,7.0,0.06000003208606559,0.1451649381769095,0.0,3.0,1.0,1.0
12.0,21.0,4148157.0,2221297.0,5.0,19.0,0.13818091534770652,-0.04743085192500809,2.0,3.0,1.0,1.0
12.0,22.0,685273.0,1291668.0,0.0,3.0,0.0,0.03002411492992553,0.0,2.0,0.0,1.0
12.0,23.0,2641686.0,4194547.0,4.0,27.0,0.16569831430468224,-0.12648557017609496,1.0,4.0,0.0,1.0
12.0,24.0,2160877.0,3492519.0,11.0,25.0,-72.715988789678,0.042828704125522095,3.0,3.0,1.0,1.0
12.0,25.0,4429586.0,3714439.0,7.0,3.0,0.05283252759005456,0.06937426538980133,3.0,2.0,1.0,1.0
12.0,26.0,1685584.0,3571190.0,25.0,29.0,0.16918631640981083,0.10307703702677727,3.0,4.0,1.0,1.0
